,Region,Metric,Standardised Value
449,GBR_0.5,Degree Centrality,-0.6642805242111217
450,GBR_0.5,Degree Centrality,0.21884257227691056
451,GBR_0.5,Degree Centrality,-0.590686932837119
452,GBR_0.5,Degree Centrality,-0.4925621443384488
453,GBR_0.5,Degree Centrality,-0.44349975008911363
454,GBR_0.5,Degree Centrality,-0.4925621443384488
455,GBR_0.5,Degree Centrality,-0.6152181299617866
456,GBR_0.5,Degree Centrality,-0.4189685529644461
457,GBR_0.5,Degree Centrality,-0.7133429184604568
458,GBR_0.5,Degree Centrality,-0.5170933414631164
459,GBR_0.5,Degree Centrality,-0.6152181299617866
460,GBR_0.5,Degree Centrality,-0.6152181299617866
461,GBR_0.5,Degree Centrality,-0.4925621443384488
462,GBR_0.5,Degree Centrality,-0.6397493270864542
463,GBR_0.5,Degree Centrality,-0.5661557357124515
464,GBR_0.5,Degree Centrality,-0.5170933414631164
465,GBR_0.5,Degree Centrality,-0.24725017309177313
466,GBR_0.5,Degree Centrality,-0.3944373558397785
467,GBR_0.5,Degree Centrality,-0.24725017309177313
468,GBR_0.5,Degree Centrality,-0.6397493270864542
469,GBR_0.5,Degree Centrality,-0.3944373558397785
470,GBR_0.5,Degree Centrality,-0.590686932837119
471,GBR_0.5,Degree Centrality,-0.46803094721378125
472,GBR_0.5,Degree Centrality,-0.5170933414631164
473,GBR_0.5,Degree Centrality,-0.44349975008911363
474,GBR_0.5,Degree Centrality,-0.4189685529644461
475,GBR_0.5,Degree Centrality,0.4641545435235863
476,GBR_0.5,Degree Centrality,-0.4189685529644461
477,GBR_0.5,Degree Centrality,-0.5170933414631164
478,GBR_0.5,Degree Centrality,-0.2963125673411083
479,GBR_0.5,Degree Centrality,-0.6152181299617866
480,GBR_0.5,Degree Centrality,-0.6888117213357893
481,GBR_0.5,Degree Centrality,-0.3944373558397785
482,GBR_0.5,Degree Centrality,-0.5416245385877839
483,GBR_0.5,Degree Centrality,-0.5170933414631164
484,GBR_0.5,Degree Centrality,-0.590686932837119
485,GBR_0.5,Degree Centrality,-0.5170933414631164
486,GBR_0.5,Degree Centrality,-0.6888117213357893
487,GBR_0.5,Degree Centrality,-0.14912538459310284
488,GBR_0.5,Degree Centrality,0.04712419240423764
489,GBR_0.5,Degree Centrality,-0.4189685529644461
490,GBR_0.5,Degree Centrality,-0.17365658171777046
491,GBR_0.5,Degree Centrality,-0.36990615871511096
492,GBR_0.5,Degree Centrality,-0.7378741155851244
493,GBR_0.5,Degree Centrality,-0.4925621443384488
494,GBR_0.5,Degree Centrality,-0.14912538459310284
495,GBR_0.5,Degree Centrality,-0.3944373558397785
496,GBR_0.5,Degree Centrality,-0.19818777884243802
497,GBR_0.5,Degree Centrality,-0.5170933414631164
